rank,name,result,citizen_of,competition,year 
5589,Rasul Gamzabekov,11.74,Russia,MCO 2016,2016
5589,Sam Chaplin,11.74,Australia,Canberra Spring 2016,2016
5589,Sebastian Arturo Salcedo,11.74,Dominican Republic,Santo Domingo Winter 2020,2020
5589,Srivatsa Potdar,11.74,India,Hyderabad Cube Open 2019,2019
5589,Tan Weiu Cheng,11.74,Malaysia,Foon Yew Open 2017,2017
5589,Tingrui Xu (许庭瑞),11.74,China,Shenyang Summer 2018,2018
5589,Tom Praschan,11.74,Germany,Hessen Open 2012,2012
5589,Vishal Mohanraju,11.74,India,SRM Cube Open 2019,2019
5589,Vivek Verma,11.74,United States,Bay Area Speedcubin&#39; 21 2019,2019
5617,Alexander Olleta del Molino,11.75,Spain,Parla Open 2018,2018
5617,Alexander Smith,11.75,United States,UIUC Fall 2019,2019
5617,Francis Daniels Veğeris,11.75,Latvia,Estonian Open 2020,2020
5617,Gabriel Wallén,11.75,Sweden,Vårgårda Open 2011,2011
5617,Gonzalo Espejo Navarrete,11.75,Chile,Chillán Open 2019,2019
5617,Hilarry Henry,11.75,Malaysia,Sabah Cube Open 2018,2018
5617,Junmo Yang,11.75,Republic of Korea,Korean Championship 2016,2016
5617,Lee Wei,11.75,Malaysia,USM Penang Cube 2019,2019
5617,Nathanael Heavilin,11.75,United States,Indianapolis Cubes 2019,2019
5617,Ramil Safiulin (Рамиль Сафиулин),11.75,Kazakhstan,Cubing Kazakhstan Nationals 2019,2019
5617,Rishab Jain,11.75,United States,Hyderabad Cube Open 2019,2019
5617,Sambit Sarkar,11.75,India,City of Joy Open 2019,2019
5617,Shenghai Fang (方胜海),11.75,China,Shandong Open 2019,2019
5617,Vladislav Vinokurov,11.75,Russia,LETI Open 2017,2017
5617,Yerko Matias Serrano Cabezas,11.75,Chile,QueTalca Open 2019,2019
5617,Yuyang Liu (刘宇阳),11.75,China,Chengdu Winter 2019,2019
5617,Zhantuar Zholdasov (Жантуар Жолдасов),11.75,Kazakhstan,SCS1 Almaty Open Air 2019,2019
5634,Adhruth Ganesh,11.76,India,Indian Nationals 2018,2018
5634,Andry Rakoto,11.76,Canada,Leap to Barrie 2020,2020
5634,Arut Klaewkasetkorn (อรุษ แกล้วเกษตรกรณ์),11.76,Thailand,Bangkok Cube Day Summer 2018,2018
5634,Brayan Ramos Coaquira,11.76,Bolivia,Open Your Mind 2016,2016
5634,Brent Nestberg,11.76,United States,Hendersonville Winter 2018,2018
5634,Chan-Young Lee,11.76,Republic of Korea,Hong Kong Cube Day 2019,2019
5634,Chuanda Xie (谢传达),11.76,China,Yunnan Open 2019,2019
5634,Daniel Wright,11.76,United Kingdom,UK Championship 2017,2017
5634,Danylo Harbar (Данило Гарбар),11.76,Ukraine,Ukrainian Open 2019,2019
5634,Denner Cássio de Albuquerque Costa,11.76,Brazil,II CUBIFMA 2017,2017
5634,Dzianis Hardziayuk,11.76,Belarus,Full Steps in Brest 2016,2016
5634,Eetu Kajan,11.76,Finland,Tapiola Winter Open 2019,2019
5634,Ganesh Bhat,11.76,India,Singapore MentalMatrix Open 2019,2019
5634,Igor Abramov (Игорь Абрамов),11.76,Russia,Ural Spring 2019,2019
5634,Jaden Travis Soliven,11.76,Canada,Return to Toronto 2019,2019
5634,Jiawen Wu (吴嘉文),11.76,China,Shanghai Winter 2018,2018
5634,Jiyi Wang (王吉怡),11.76,China,Shaoxing Open 2019,2019
5634,John Kelley,11.76,United States,Slow N Steady Winter 2018,2018
5634,Kazmeer Shad Morandante,11.76,Philippines,Tagum City Open 2019,2019
5634,Kazuya Ishii (石井一也),11.76,Japan,Kanazawa Open 2020,2020
5634,Luke Song,11.76,United States,New Albany 2013,2013
5634,Mukhshif Mujaheed Khan,11.76,India,Cerulean 2017,2017
5634,Nikita Razzamazov (Никита Раззама́зов),11.76,Russia,Tomsk Cube Days 2019,2019
5634,Oscar Paul Mamani Oscalla,11.76,Peru,Glorioso San Carlos 2020,2020
5634,Phạm Quang Minh,11.76,Vietnam,Ha Noi Summer 2020,2020
5634,Sarah Strong,11.76,Canada,MCC Alpha 2015,2015
5634,Saumit Kale,11.76,United States,CubingUSA Nationals 2017,2017
5634,Sergey Marin (Сергей Марьин),11.76,Russia,Ural Autumn 2020,2020
5634,Stefano Zorzi,11.76,Italy,Monticello Open 2013,2013
5634,Xiaojian Li (李晓健),11.76,China,Shenyang New Year 2019,2019
5634,Yuta Okada (岡田雄太),11.76,Japan,Kyushu Open 2016,2016
5634,Zihao He (何梓豪),11.76,China,Ordos Winter 2020,2020
5634,Zirui Liu (刘子瑞),11.76,China,Shenzhen Open 2018,2018
5667,Aaikham Borgohain,11.77,India,1st Jorhat Open 2019,2019
5667,Aarbid Bhattarai,11.77,Nepal,BhanuBhakta Cube Open 2020,2020
5667,Aidan Costello,11.77,United States,South Enough 2018,2018
5667,Bartłomiej Lewandowski,11.77,Poland,Cube Factory League Final 2019,2019
5667,Benjamin Charriere,11.77,France,World Championship 2017,2017
5667,Cristian Fernández Díaz,11.77,Spain,Spanish Championship 2016,2016
5667,Đặng Hoàng Hiệp,11.77,Vietnam,Ha Noi Open 2018,2018
5667,Enrike Alexander Rivas Valtierra,11.77,Mexico,Tula 2018,2018
5667,Hans Hu,11.77,United States,Big Cube Bash 2017,2017
5667,Ilian Bashev,11.77,Bulgaria,Lovech Winter 2019,2019
5667,István Szepesi-Nagy,11.77,Hungary,U.R.A. Spring of Colors 2018,2018
5667,Jake Johnston,11.77,United Kingdom,Fontwell Open 2019,2019
5667,Jiacheng Peng (彭家诚),11.77,China,Cube of Prime Numbers 2015,2015
5667,Julian Schaffhauser,11.77,Argentina,UTN Bisiesto 2020,2020
5667,Karina Shevchuk (Каріна Шевчук),11.77,Ukraine,Ukrainian Nationals 2019,2019
5667,Liang He (何梁),11.77,China,Nanchang Winter 2019,2019
5667,Liuyuan Geng (耿留远),11.77,China,Hangzhou Autumn 2019,2019
5667,Mitchell Fariss,11.77,United States,US Nationals 2015,2015
5667,Nguyen Nhat Khang,11.77,Vietnam,Ho Chi Minh Let&#39;s Cube 2019,2019
5667,Philipp Senser,11.77,Switzerland,Swisscubing Cup II 2020,2020
5667,Piotr Kuchta,11.77,Poland,GLS Cup IV 2017,2017
5667,Shicheng Qiu (丘仕铖),11.77,China,Shenzhen New Year 2016,2016
5667,Stephen Cotterrell,11.77,South Africa,Cape Town 2016,2016
5667,Theo Skoog,11.77,Sweden,SSL Final Stockholm 2019,2019
5667,Vishwa Sankar,11.77,United States,Rocky Top 2019,2019
5667,Vladislav Syrov,11.77,Russia,Ivanovo Cuber Cup 2019,2019
5667,Yu-Wei Ko (柯昱瑋),11.77,Taiwan,Zhuyuangang Open 2020,2020
5667,Yuzhuo Zheng (郑钰卓),11.77,China,Zibo Open 2017,2017
5667,Zhen Tang (唐镇),11.77,China,BUAA Open 2014,2014
5696,Alex Anderson Bedon Valentin,11.78,Peru,Aventura Cúbica VI 2018,2018
5696,Anton Nilsson,11.78,Sweden,Kubvasan 2016,2016
5696,Changxin Zhou (周长昕),11.78,China,Chengdu Winter Open 2018,2018
5696,Danny Buschert,11.78,Canada,Sherwood Park Summer 2019,2019
5696,David Asaad,11.78,United States,Duke Summer 2016,2016
5696,Giorgi Tarielashvili,11.78,Georgia,Edinburgh Spring 2015,2015
5696,Grzegorz Łucki,11.78,Poland,Polish Championship 2016,2016
5696,Jacob Yu,11.78,United States,Caltech Winter 2017,2017
5696,Jinzhou Huang (黄金洲),11.78,China,Xuzhou Winter 2019,2019
5696,Lim Le Yang,11.78,Malaysia,Malaysia Cube Championship 2019,2019
5696,Linxiao Xu (徐林霄),11.78,China,Tianjin Autumn 2019,2019
5696,Louis Wysocinski,11.78,France,Champagne Open 2019,2019
5696,Min-gun Cho,11.78,Republic of Korea,Cubedu Korea 2018,2018
5696,Nestor Sokhan,11.78,United States,Brooklyn 2019,2019
5696,Nicole Wang,11.78,Canada,Canadian Championship 2019,2019
5696,Simon Péridy,11.78,France,FLIP Open 2019,2019
5696,Simon Pfahler,11.78,Germany,Franconia Fall 2019,2019
5696,Thomas L&#39;Ecuyer,11.78,Canada,Québec City 2019,2019
5696,Vanshraj Sachdev,11.78,India,Hyderabad Cube Open 2019,2019
5696,Vlonga Adorian,11.78,Romania,Romanian Cubing Open 2019,2019
5696,Yan Zhuang (庄严),11.78,China,Tianjin Autumn 2019,2019
5696,Yang Qi (祁洋),11.78,China,China Championship 2015,2015
5696,Yannick Tonatiuh Napsuciale Heredia,11.78,Mexico,Fénix 2014,2014
5719,Benjamin Tibbetts,11.79,United States,Veterans Day Open 2019,2019
5719,Casey Ear,11.79,United States,Turning in Texas 2018,2018
5719,Daniel Sartori,11.79,Italy,Italian Championship 2019,2019
5719,David Buzgo,11.79,Serbia,Serbian Open 2016,2016
5719,Dohnnovan Galarza-Guevara,11.79,United States,CubingUSA Nationals 2018,2018
5719,Haoxiang Ying (应浩祥),11.79,China,SJTU Winter Open 2018,2018
5719,Haoyuan Zheng (郑皓元),11.79,China,Quanzhou Open 2019,2019
5719,Husaini Hanif,11.79,Indonesia,Jogja Mini Competition 2017,2017
5719,Jack Rysz,11.79,United States,Southeast Texas Winter 2019,2019
5719,Jinhao Zhang (张金浩),11.79,China,Beijing Summer 2019,2019
5719,John Colacarro,11.79,United States,Garrettsville G-Men Classic 2020,2020
5719,Junxi Du (杜俊希),11.79,China,Zhongshan Open 2017,2017
5719,Kyle Sung,11.79,Canada,Oakville Autumn Limited 2018,2018
5719,Małgorzata Nowagiel,11.79,Poland,GLS Cup IV 2016,2016
5719,Marcus Hagman,11.79,Sweden,Swedish Decathlon 2016,2016
5719,Matthew Feldmann,11.79,United States,Scuppernong Spectacular 2019,2019
5719,Mo Xue (薛墨),11.79,China,Dalian Spring 2019,2019
5719,Patrick Jameson,11.79,United States,Safe Haven 2010,2010
5719,Phạm Quốc Việt,11.79,Vietnam,Ha Noi Open 2017,2017
5719,Piotr Kogut,11.79,Poland,GLS Gdynia 2020,2020
5719,Ren Randolph Olarte,11.79,Philippines,Rockville Winter 2017,2017
5719,Sarvesh Suryanarayan,11.79,India,CMI Tessellate Cube Open 2020,2020
5719,Thomas Višvader,11.79,Slovakia,Bratislava Mental Breakdown 2018,2018
5719,Viacheslav Nartokov (Вячеслав Нартоков),11.79,Russia,Krasnodar Winter 2019,2019
5719,Victor Guadiana Aguilera,11.79,Mexico,Prime One Chihuahua 2016,2016
5719,Yunong Li (李雨浓),11.79,China,Zibo Open 2016,2016
5719,Zhihang Zhang (张志航),11.79,China,Linyi Open 2016,2016
5746,Alex Sharples,11.80,New Zealand,New Zealand Nationals 2019,2019
5746,Allyn Jacob Rubin,11.80,Philippines,Davao del Sur Open 2017,2017
5746,Ava Felsenfeld,11.80,United States,Scranton Scramble 2020,2020
5746,Baibhab Patra,11.80,India,IIITDM Cube Open 2018,2018
5746,Ben Zoller,11.80,United States,US Nationals 2016,2016
5746,Chia-Liang Tai (戴嘉良),11.80,Taiwan,Chien Kuo Cubing Party 2019,2019
5746,Collin Amaral,11.80,United States,AZCubing Spring 2019,2019
5746,Dante Vidas,11.80,Croatia,Croatian Open 2017,2017
5746,Dmytro Sharapov (Дмитро Шарапов),11.80,Ukraine,Anatoliy Moroz Open 2015,2015
5746,Guillain Potron,11.80,France,Barcelona Open 2010,2010
5746,Jaime Nathaniel Hernandez Rivera,11.80,Mexico,Aguascalientes Summer 2016,2016
5746,James Benedict Cañares,11.80,Philippines,Philippine Open 2011,2011
5746,James Kropiwka,11.80,United States,Great Lakes Championship 2019,2019
5746,Jihao Zhang (张纪豪),11.80,China,WHUT Open 2018,2018
5746,Jon Meilstrup,11.80,United States,Southern Utah Fall Open 2018,2018
5746,Joshua Lajoie,11.80,United States,BA Four 2019,2019
5746,Josiah Thiele,11.80,United States,BarbeCubing Fall 2018,2018
5746,Kirk Nicklaus Manibuy,11.80,Indonesia,Madiun Happy Cubing 2017,2017
5746,Matvey Zhmulin,11.80,Russia,Ramenskoe Open 2019,2019
5746,Max Murphy,11.80,Canada,Ajax Winter 2019,2019
5746,Miguel Alejandro Blanco Ríos,11.80,Mexico,La Silla II 2019,2019
5746,Mylo Rafael Kristianto,11.80,Indonesia,PSKG Premiere Cubing 2020,2020
5746,Nick Jackson,11.80,United States,Indianapolis Cubes 2019,2019
5746,Noorulmursaleen Ahmad,11.80,Canada,Trois-Rivieres 2019,2019
5746,Pablo Andres Lugo,11.80,Colombia,LatAm Tour - Chia 2017,2017
5746,Pascal So (蘇柏熙),11.80,Hong Kong,Beijing Winter 2009,2009
5746,Qilin Huang (黄麒麟),11.80,China,Shanghai Love in ECNU 2018,2018
5746,Qiuhao Qian (潜秋豪),11.80,China,China Championship 2017,2017
5746,Tobias Christensen,11.80,Norway,VI QB&#39;er 2018,2018
5746,Xitian Luo (罗习添),11.80,China,Guangdong Open 2013,2013
5746,Zishuo Zhang (张子硕),11.80,China,Xuzhou Spring 2019,2019
5777,Angel Omar Montiel Clavel,11.81,Mexico,Guadalajara 2017,2017
5777,Ardavan Jebelli (اردوان جبلی),11.81,Iran,Iran Academy 2018,2018
5777,Axel Skoglund,11.81,Sweden,SSL Final Stockholm 2019,2019
5777,Chi-Lun Hung (洪啟倫),11.81,Taiwan,Kansai Open 2018,2018
5777,Chris Dzoan,11.81,United States,US Nationals 2010,2010
5777,Delphine Tran (Ngọc Phượng Vĩ Trần),11.81,France,Speedcub&#39;Eirb Winter Open 2019,2019
5777,Duan-Lin He (何端綝),11.81,Taiwan,Kaohsiung Autumn Open 2017,2017
5777,Eli Wimmer,11.81,United States,PDX Cubing Beta 2015,2015
5777,Elias Nathaniel Paliza Indacochea,11.81,Peru,Game Pro Tour 2018,2018
5777,Hongyu Shang (尚宏宇),11.81,China,Linyi Open 2016,2016
5777,Hua Long Javier Wan Zhu,11.81,Peru,Palacio del Cubo 2019,2019
5777,Jacob Chirkoff,11.81,Canada,Foothills Fall 2017,2017
5777,Jake Geren,11.81,United States,North Liberty 2019,2019
5777,James Sulaiman,11.81,Indonesia,Bogor Open 2011,2011
5777,Javier Tovar Castro,11.81,Spain,Bilbao Open 2018,2018
5777,Joel Farkasdi,11.81,United States,Imagination Station 2018,2018
5777,Kathiresan Chellappan,11.81,India,C3 Cup Finale 2019,2019
5777,Kush Girap,11.81,India,Indian Nationals 2019,2019
5777,Lawrence Nichols,11.81,United States,Colorado Qualifier 2019,2019
5777,María del Mar Gallego Vicente,11.81,Spain,Parla Open 2019,2019
5777,Quyen Vu Bach,11.81,Germany,Munich Open 2019,2019
5777,Russell Roberts,11.81,United States,Cubing Peoria 2019,2019
5777,Song Wang (王松),11.81,China,Nanchang Open 2017,2017
5777,Stephen Mark V. Mariñas,11.81,Philippines,Philippine Championship 2018,2018
5777,Suzane Coelho,11.81,Brazil,Oxente Open 2019,2019
5777,Voon Wu Han,11.81,Malaysia,Sabah Cube Open 2019,2019
5803,Ali Mohammadpour Shojai (علی محمدپورشجاعی),11.82,Iran,Turkish Open 2013,2013
5803,Angel Torres Perez,11.82,Mexico,Telpochcalli Tlaxcala 2020,2020
5803,Auel Yakubu,11.82,Germany,Munich Open 2016,2016
5803,Chris Wilkinson,11.82,Australia,Kurri Kurri 2012,2012
5803,Chunxiao Li (李春啸),11.82,China,Shenyang Summer 2018,2018
5803,Cristian Camilo Saray Culma,11.82,Colombia,Ibagué Open 2019,2019
5803,Danil Plekhanov (Даніл Плеханов),11.82,Ukraine,Smartcube Fest Kyiv 2019,2019
5803,Dmitrii Saukov (Дмитрий Сауков),11.82,Russia,MPEI Open 2019,2019
5803,Dong Hyeok Lee,11.82,Republic of Korea,Korean Championship 2017,2017
5803,Druhin Lamba,11.82,India,NCR Open 2017,2017
5803,Đào Duy Anh,11.82,Vietnam,Ha Noi Open 2018,2018
5803,Eric Waldbillig,11.82,United States,North Liberty 2019,2019
5803,Gabriele Catarsi,11.82,Italy,Tuscany Open 2018,2018
5803,Heechan Chae,11.82,Republic of Korea,Cubing Korea 2019,2019
5803,Henry Lipka,11.82,United States,MIT Winter 2020,2020
5803,Ignatius Pereira,11.82,India,Shaastra Cube Open 2019,2019
5803,Ilie-Laurenţiu Soare,11.82,Romania,Sofia Spring 2019,2019
5803,Jakub Ostas,11.82,Poland,MLS Warszawa 2020,2020
5803,Jeremi Niedziela,11.82,Poland,Euro 2012,2012
5803,Jiahe Dai (戴嘉禾),11.82,China,XJTU Open 2016,2016
5803,Jide Ogbuji,11.82,United States,1 Body Cubing 2017,2017
5803,Lee Chee Wan,11.82,Singapore,Foon Yew Open 2015,2015
5803,Liping Jia (贾立平),11.82,China,Beijing Spring 2014,2014
5803,Mansib Alam Talukder,11.82,Bangladesh,Knights Cubing Open 2019,2019
5803,Michał Matczak,11.82,Poland,ŚLS Zawiercie 2017,2017
5803,Mikey Whelan,11.82,Ireland,Irish Championship 2018,2018
5803,Myeongguk Choi (최명국),11.82,Republic of Korea,Korean Championship 2019,2019
5803,Pranjal Khan,11.82,Austria,Vienna Cube Day 2019,2019
5803,Radosław Drozdowicz,11.82,Poland,Polish Championship 2019,2019
5803,Roman Ostapenko (Роман Остапенко),11.82,Ukraine,Kharkiv Cube Day 2013,2013
5803,Sebastian Amador,11.82,United States,WFS Cubing 2019,2019
5803,Xiaoxue Zhou (周晓学),11.82,China,Shenzhen Open 2019,2019
5803,Yapeng Xie (叶亚鹏),11.82,China,Nanchang Open 2019,2019
5803,Yunqi Liu (刘云起),11.82,China,Shaoxing Open 2019,2019
5837,Akshay Tonde,11.83,India,Geethanjali Monsoon Open 2018,2018
5837,Aldrin Ilagan,11.83,United States,2FTI San Diego 2016,2016
5837,Alexander Josue Vasquez Alcantara,11.83,Peru,Trujillo Happy New Year 2020,2020
5837,Chaipak Saetung,11.83,Thailand,Thailand Championship 2019,2019
5837,Emilio Valenzuela Tapia,11.83,Chile,Curicó al Cubo 2019,2019
5837,Fitri Nurul Ain,11.83,Brunei,Malaysia Cube Championship 2019,2019
5837,Go Jun Yi,11.83,Malaysia,STEM Cube Open Penang 2019,2019
5837,Jack Ngo,11.83,United States,The Battle of Lexington 2019,2019
5837,Jacob Shum,11.83,Canada,Big Cubes for Dunwoody 2020,2020
5837,Jesus Flores,11.83,United States,Santa Barbara Fall 2019,2019
5837,Jhuliam Stevam Picon Muñoz,11.83,Colombia,Caracolí Open 2019,2019
5837,Jiachen Xu (徐嘉辰),11.83,China,Tianjin Summer Open 2018,2018
5837,Kyungtae Baek (백경태),11.83,Republic of Korea,Seoul Winter 2019,2019
5837,Lương Quang Huy,11.83,Vietnam,Ho Chi Minh City Open 2019,2019
5837,Maxim Hildt,11.83,Germany,Hessen Open 2019,2019
5837,Menglin Xu (徐梦麟),11.83,China,China Tourism Day 2012,2012
5837,Pankaj Sharma,11.83,India,Indian Nationals 2019,2019
5837,Phillip Kravtsov,11.83,United States,Berkeley Summer 2017,2017
5837,Raymond Rosales,11.83,Philippines,Antipolo City Cube Open 2018,2018
5837,Ruimin Yan (颜瑞民),11.83,China,Warm Up Sydney 2019,2019
5837,Semen Gridnev,11.83,Russia,Dvina Open 2014,2014
5837,Sultan Tokbaev (Султан Токбаев),11.83,Russia,CCC Qualification Tyumen 2019,2019
5837,Thatchapon Chatthanes (ธัชพล ฉัตรธเนศ),11.83,Thailand,Thailand 10th Anniversary 2019,2019
5837,Yi Seung-Woo (이승우),11.83,Republic of Korea,Cubing Korea January 2012,2012
5861,Abi Branhastyo,11.84,Indonesia,SWA Cup 2018,2018
5861,Abner Mojalott Navarro,11.84,Peru,GeekStore Speedsolving 2019,2019
5861,Aikine Jayn Haloot,11.84,Philippines,Luzon Championship 2019,2019
5861,Alfred Wang,11.84,United States,Anaheim Fall 2018,2018
5861,Carlos Antonio Valencia,11.84,Philippines,Philippine Championship 2019,2019
5861,Christian Angelo Araneta Naguio,11.84,Philippines,Parity at Charis 2020,2020
5861,Corentin Niort,11.84,France,Taiwan Championship 2017,2017
5861,Daniel Quiñones Olgado,11.84,Peru,TCG Spring 2019,2019
5861,Daulet Yermukhanov,11.84,Kazakhstan,Semey Open 2018,2018
5861,Dean Leigh Tan,11.84,Singapore,Singapore Mini 2019,2019
5861,Diego Alejandro Casas Jimenez,11.84,Colombia,Cartagena Open 2019,2019
5861,Dmitriy Kukuev,11.84,Russia,Siberia Open 2020,2020
5861,Jacob McGruddy,11.84,Australia,Altona Algorithms 2019,2019
5861,Ju Hyeon Kim,11.84,Republic of Korea,Korean Championship 2018,2018
5861,Juezhong Xie (谢爵钟),11.84,China,Zhanjiang Open 2019,2019
5861,Kyler Smith,11.84,United States,Rocky The Ram Cubes 2019,2019
5861,Le Van Bao Toan,11.84,Vietnam,Ho Chi Minh Spring Open 2018,2018
5861,Oskar Martiňák,11.84,Czech Republic,Brno Autumn 2019,2019
5861,Shantanu Modak,11.84,Singapore,Forest City Johor Open 2018,2018
5861,Shotaro Makisumi (牧角章太郎),11.84,Japan,US Nationals 2011,2011
5861,Sofiya Bondarenko,11.84,Ukraine,Tambov Autumn 2019,2019
5861,Stepan Anisimov (Степан Анисимов),11.84,Russia,CCC Qualification SPB 2020,2020
5861,Ting-Guang Chang (張廷光),11.84,Taiwan,Taiwan Championship 2019,2019
5861,Victor Tang Yao Jun (湯曜駿),11.84,Hong Kong,Hong Kong Cube Day 2019,2019
5861,Vishnu Rajasekhar,11.84,India,Mudd Fall 2019,2019
5861,Wan Gi Hwang (황완기),11.84,Republic of Korea,Daegu Autumn Open 2019,2019
5861,Yikang Chen (陈毅康),11.84,China,Wuhan Open 2019,2019
5888,Adam Czech,11.85,Poland,Kaskada Open 2016,2016
5888,Ben Ridley,11.85,United Kingdom,Cambridge Open 2018,2018
5888,Darcy Andrikonis,11.85,Australia,Hobart Hoedown 2019,2019
5888,Erik Yngvi Brannan,11.85,Iceland,Iceland Open 2020,2020
5888,Felix Berglund,11.85,Sweden,SSL 4 Sundsvall 2019,2019
5888,Giulio Grammatica,11.85,Italy,Dutch Open 2013,2013
5888,Gustavo Kenzo Araki Takechi,11.85,Brazil,Brasília Winter 2019,2019
5888,Håkon Fredriksen,11.85,Norway,Bergen Open 2020,2020
5888,Haohua Wang (王昊华),11.85,China,Fuzhou Open 2018,2018
5888,Jacob Fanikos,11.85,United States,Rocky Top 2019,2019
5888,Jacob Kopelman,11.85,United States,New York City Spring 2018,2018
5888,Jiaxian Zhao (赵嘉宪),11.85,China,Dongguan Summer 2019,2019
5888,Jonathan D. Arnold,11.85,United States,Wildcat Holiday 2017,2017
5888,Ken Hayashi,11.85,Singapore,Singapore Open 2016,2016
5888,Kim Jun Hwi,11.85,Republic of Korea,Korean CWR Style 2017,2017
5888,Koki Mukai (向井皇喜),11.85,Japan,Ayase 2020,2020
5888,Le Rong (荣乐),11.85,China,Baoji Open 2019,2019
5888,Levi Way,11.85,United Kingdom,Welsh Open 2018,2018
5888,Liza Kokhan,11.85,Russia,Moscow Summer 2013,2013
5888,Luis Bosch,11.85,Panama,Panamá Kocka 2019,2019
5888,Manuel Arjona Crespo,11.85,Spain,Altasierra 2018,2018
5888,Mark Bennis,11.85,Netherlands,Dutch Nationals 2019,2019
5888,Omar Abdlkareem Albalouli,11.85,Jordan,Jordan Open 2019,2019
5888,Qi Zhou (周祺),11.85,China,Shanghai Open 2019,2019
5888,Ricardo Ivan Philippsen,11.85,Brazil,Poa Open 2017,2017
5888,Ruiyao Zhou (周睿尧),11.85,China,Wuxi Winter 2019,2019
5888,Rúnar Gauti Gunnarsson,11.85,Iceland,Lights of Reykjavik 2019,2019
5888,Slavomil Voloskov (Славомил Волосков),11.85,Russia,SPB Muffin 2020,2020
5888,Syafiq Aizat Bin Shaiful Amri,11.85,Malaysia,Malaysia 10th Cube Open 2019,2019
5888,William Harcourt,11.85,Australia,Adelaide Summer 2020,2020
5888,Xinyu Wang (王欣宇),11.85,China,China Championship 2019,2019
5888,Yuze Li (李雨泽),11.85,China,Tangshan Open 2017,2017
5888,Zian Kiero Nichole Callao,11.85,Philippines,Cuber&#39;s Cafe Open 2019,2019
5921,AJ Saliman,11.86,United States,Puget Sound Winter 2.0 2017,2017
5921,Albert Phan,11.86,United States,Elk Cubing 2018,2018
5921,Arnel Peros,11.86,Philippines,UCFO 2017,2017
5921,Connor Gray,11.86,United States,Northeast Championship 2018,2018
5921,Eduardo Camargo García,11.86,Colombia,GeniusCube 2016,2016
5921,Frithiof Kuhlmann,11.86,Germany,Berlin Winter Cubing 2019,2019
5921,Han Zhu (朱晗),11.86,China,ZUST Open 2017,2017
5921,Ivan Micieli,11.86,Italy,Italian Championship 2019,2019
5921,Jacob Caine,11.86,United Kingdom,Fontwell Open 2020,2020
5921,James Tuttle,11.86,Canada,QUALberta 2017,2017
5921,Jialin Jia,11.86,China,Potomac Speedcubing 2020,2020
5921,John Weigand,11.86,United States,Hudson Valley 2016,2016
5921,Liming Lu (卢黎鸣),11.86,China,Suzhou Open 2018,2018
5921,Niklas Spies,11.86,Germany,Hasselt Open 2012,2012
5921,Patryk Grosiak,11.86,Poland,PST LLS Lublin 2020,2020
5921,Pavel Khvostyuk (Павел Хвостюк),11.86,Belarus,Lion&#39;s Cup 2019,2019
5921,Riley Thurm,11.86,United States,Minnesota Cube Melt 2018,2018
5921,Santiago Mejia Chacon,11.86,Colombia,RubikBlind 2013,2013
5921,Stanislau Smolski,11.86,Belarus,Speedcubing Camp Minsk 2019,2019
5921,Thibaut Jacquinot,11.86,France,France 2011,2011
5921,Wan Adam Iskandar Bin Wan Abdul Aziz,11.86,Malaysia,Putra Speedcubing Challenge 2018,2018
5921,Zihan Mu (穆子晗),11.86,China,Qinhuangdao Open 2019,2019
5943,Abdelrahman Issa,11.87,Jordan,Jordan Open 2019,2019
5943,Andreas Pung,11.87,Estonia,Estonian Open 2019,2019
5943,Andrey Kurochkin,11.87,Russia,Tirol Open 2019,2019
5943,Aneta Šimůnková,11.87,Czech Republic,Munich Open 2019,2019
5943,Breanna LaGere,11.87,United States,Reno Fall In Memoriam 2019,2019
5943,Carlos Perez-Hijar,11.87,United States,Michigan 2018,2018
5943,Christopher Cervania,11.87,Canada,Foothills Final Fight 2019,2019
5943,Christopher He,11.87,United States,Berkeley Spring 2019,2019
5943,Claudio Perrone,11.87,Italy,Salento Cubing Open 2020,2020
5943,Damiano Di Paola,11.87,Italy,Road to IC - Monterotondo 2019,2019
5943,Daniel Chudecki,11.87,Poland,Polish Championship 2015,2015
5943,Dong Cao (曹东),11.87,China,Shanghai Love In ECNU 2017,2017
5943,Đặng Anh Kiên,11.87,Vietnam,Ha Noi Championship 2019,2019
5943,Ignacy Zagajewski,11.87,Poland,CFL Domaniewice 2018,2018
5943,James Mäenpää,11.87,Finland,Finnish Championship 2019,2019
5943,Jesse Adams,11.87,United States,OKC 2016,2016
5943,Kim Junsu (김준수),11.87,Republic of Korea,Korean Championship 2019,2019
5943,Maxim Onushkin,11.87,Russia,Hoogland Open 2019,2019
5943,Nguyễn Duy Cương,11.87,Vietnam,Ha Noi Cube Day 2015,2015
5943,Omri Kehila,11.87,Israel,Cubing in the Succah 2019,2019
5943,Paweł Wojciechowski,11.87,Poland,Warsaw Cube Masters 2018,2018
5943,Ram Krishna Pattanayak,11.87,India,Raipur Cube Championship 2018,2018
5943,Samuel Jehanno,11.87,France,Barby Cube 2019,2019
5943,Viktor Dorohov (Виктор Дорохов),11.87,Russia,Belgorod Open 2019,2019
5943,Wei Ji (季炜),11.87,China,ZUST Open 2017,2017
5943,Wenshun Zhou (周文舜),11.87,China,Another Bruin Cube Day 2019,2019
5943,Wesley Grady,11.87,United States,Oklahoma Fall 2019,2019
5943,Wong Tak Man (黃德文),11.87,Hong Kong,Hong Kong Cube Day 2019,2019
