rank,name,result,citizen_of,competition,year
135,Ben Baron,7.51,Israel,Israel Summer Open 2019,2019
135,Ethan Jan,7.51,United States,West LA Winter 2020,2020
135,Natthaphat Mahtani (ณัฐภัทร จี มาทานี),7.51,Thailand,Thailand Championship 2018,2018
138,Dana Yi,7.52,United States,Skewbadelphia Winter 2020,2020
138,Ryan Wu,7.52,Canada,Leap to Barrie 2020,2020
138,Szymon Malinowski,7.52,Poland,Santa Claus Cube Race 2019,2019
141,Arifumi Fushimi (伏見有史),7.53,Japan,Tokai Open 2019,2019
141,Evan Mann,7.53,United States,Bay Area Speedcubin&#39; 21 2019,2019
141,Kymberlyn Calderon,7.53,United States,Princeton Winter 2020,2020
141,Rasmus Stub Detlefsen,7.53,Denmark,Aarhus Spring 2019,2019
141,SeungBeom Cho (조승범),7.53,Republic of Korea,Dixon Winter 2017,2017
146,Reinier Schippers,7.54,Netherlands,Dutch Open 2018,2018
147,Rituraj Sohoni,7.55,India,Hiroshima Open 2019,2019
147,Rodrigo Paz Vaca,7.55,Bolivia,Villa Rosita 2020,2020
147,Yezhen Han (韩业臻),7.55,China,NEU Open 2019,2019
150,Lin Chen (陈霖),7.56,China,Kunshan Open 2019,2019
151,Kajetan Opach,7.58,Poland,PST CFL Częstochowa 2019,2019
151,Morten Arborg,7.58,Norway,VI QB&#39;er 2017,2017
153,Haluk Ulkusal,7.59,Romania,Constanta Cube Days 2019,2019
153,Vishantak Srikrishna,7.59,United States,Berkeley Fall 2019,2019
155,Jonathan Hamstad,7.60,Norway,Kjeller Open 2017,2017
155,Yunliang Zhang (张赟量),7.60,China,Nanjing Autumn 2019,2019
157,Sean Belke,7.61,United States,Slow N Steady Summer 2019,2019
157,Tanish Saxena,7.61,India,Shri Ram Cubing Challenge 2019,2019
159,Ainesh Sevellaraja,7.62,Malaysia,Fontwell Open 2020,2020
159,Daniel Gutierrez,7.62,United States,Constitution State Winter 2020,2020
159,Haowei Fan (樊浩玮),7.62,China,Xi&#39;an Cherry Blossom 2018,2018
159,Henri Gerber,7.62,Germany,German Nationals 2019,2019
159,Jared Huffman,7.62,United States,Sioux Fall 2019,2019
159,Sei Sugama (洲鎌星),7.62,Japan,Kansai Open 2019,2019
165,Jonah Crosby,7.63,United States,MIT Winter 2020,2020
165,Mantas Urbanavičius,7.63,Lithuania,Latvian Open 2019,2019
165,Rowe Hessler,7.63,United States,Slow N Steady Winter 2018,2018
168,Carter Kucala,7.64,United States,Big Cheese 2020,2020
169,Zeke Mackay,7.65,United States,West Branch Summer 2019,2019
170,Benjamin Pugh,7.66,United States,Michigan Cubing Club Gamma 2019,2019
170,Kennan LeJeune,7.66,United States,Minnesota Cube Melt 2016,2016
172,Christopher Sun,7.67,United States,No Place For DNF Fall 2019,2019
172,Lev Golub (Лев Голуб),7.67,Ukraine,Ukrainian Nationals 2018,2018
172,Pablo Contreras,7.67,France,Chelles Open 2020,2020
172,Riley Dexter,7.67,Australia,Melbourne Summer 2020,2020
176,Dawei Xu (徐大卫),7.68,China,China Championship 2019,2019
176,Faisal Aziz Mehboob,7.68,India,Bengaluru Summer Open 2019,2019
176,Kevin Hays,7.68,United States,WCA World Championship 2019,2019
176,Roger Lightbody III,7.68,United States,CubingUSA Nationals 2019,2019
176,Zixuan Yang (杨子轩),7.68,China,Guilin Open 2019,2019
181,Nicolas Gertner,7.69,France,Villeneuve-lès-Avignon 2019,2019
182,Amod Mathur,7.71,United States,Pencil Mania 2018,2018
